timestamp,distance_deg,reflection,left_speed,correction,test,time,error,right_speed,iteration
1758633025.251908,772,9,98,51.8,pid_1m,4.517565011978149,16,201,54
1758633025.332697,780,8,95,54.5,pid_1m,4.598321914672852,17,204,55
1758633025.415755,788,8,96,53.2,pid_1m,4.681181907653809,17,203,56
1758633025.494529,796,8,97,52.40000000000001,pid_1m,4.760277032852173,17,202,57
1758633025.589509,804,8,98,51.6,pid_1m,4.851119041442871,17,201,58
1758633025.674137,813,8,98,51.1,pid_1m,4.939199924468994,17,201,59
1758633025.76028,822,7,96,53.3,pid_1m,5.025702953338623,18,203,60
1758633025.852535,830,7,96,53.2,pid_1m,5.117326021194458,18,203,61
1758633025.932739,838,8,99,50.7,pid_1m,5.197273015975952,17,200,62
1758633026.013062,846,8,98,51.1,pid_1m,5.278824090957642,17,201,63
1758633026.092627,854,8,98,51.20000000000001,pid_1m,5.358292102813721,17,201,64
1758633026.172344,862,8,98,51.20000000000001,pid_1m,5.437886953353882,17,201,65
1758633026.252772,870,8,98,51.20000000000001,pid_1m,5.518522024154663,17,201,66
1758633026.33249,877,8,98,51.20000000000001,pid_1m,5.597238063812256,17,201,67
1758633026.413489,885,9,101,48.6,pid_1m,5.678988933563232,16,198,68
1758633026.492705,893,8,98,51.6,pid_1m,5.758342981338501,17,201,69
1758633026.570363,901,14,114,35.40000000000001,pid_1m,5.836091995239258,11,185,70
1758633026.649396,909,58,226,-76.70000000000001,pid_1m,5.914925098419189,-33,73,71
1758633026.734379,919,73,248,-98.70000000000001,pid_1m,6.000118017196655,-48,51,72
1758633026.820365,938,68,234,-84.70000000000001,pid_1m,6.085922956466675,-43,65,73
1758633026.898771,958,68,243,-93.2,pid_1m,6.164479970932007,-43,56,74
1758633026.98074,977,68,249,-99.20000000000002,pid_1m,6.246386051177979,-43,50,75
1758633027.060486,996,74,250,-120.8,pid_1m,6.32623291015625,-49,50,76
