1758630960.912225,14.71798205375672,90,117,bangbang,8,22,-60,210
1758630961.035444,14.84099102020264,90,118,bangbang,8,22,-60,210
1758630961.165787,14.97162008285523,90,119,bangbang,8,22,-60,210
1758630961.291843,15.09727120399475,90,120,bangbang,7,23,-60,210
1758630961.415088,15.22068500518799,90,121,bangbang,8,22,-60,210
1758630961.541531,15.34705209732056,90,122,bangbang,8,22,-60,210
1758630961.67077,15.47638607025147,90,123,bangbang,7,23,-60,210
1758630961.792309,15.59807205200195,90,124,bangbang,8,22,-60,210
1758630961.916684,15.72248315811157,90,125,bangbang,8,22,-60,210
1758630962.040204,15.84605121612549,90,126,bangbang,7,23,-60,210
1758630962.170164,15.97599315643311,90,127,bangbang,8,22,-60,210
1758630962.296394,16.10199117660523,90,128,bangbang,8,22,-60,210
1758630962.42406,16.22974014282227,90,129,bangbang,12,18,-60,210
1758630962.549788,16.35558605194092,90,130,bangbang,16,14,-60,210
1758630962.681607,16.48709201812744,90,131,bangbang,20,10,-60,210
1758630962.805548,16.60905313491821,90,132,bangbang,26,4,-60,210
1758630962.928855,16.7347149848938,210,133,bangbang,33,-3,60,90
1758630963.054598,16.8604371547699,210,134,bangbang,37,-7,60,90
1758630963.188301,16.99308705329895,210,135,bangbang,66,-36,60,90
1758630963.312878,17.11872720718384,210,136,bangbang,68,-38,60,90
1758630963.444484,17.25032114982605,210,137,bangbang,68,-38,60,90
1758630963.568892,17.37474513053894,210,138,bangbang,67,-37,60,90
1758630963.69465,17.50048613548279,210,139,bangbang,67,-37,60,90
1758630963.818724,17.62455415725708,210,140,bangbang,67,-37,60,90
1758630963.944021,17.7497181892395,210,141,bangbang,66,-36,60,90
1758630964.070239,17.87609815597534,210,142,bangbang,66,-36,60,90
1758630964.194646,18.00050020217896,210,143,bangbang,61,-31,60,90
1758630964.317562,18.12295699119568,210,144,bangbang,66,-36,60,90
1758630964.442599,18.24828410148621,210,145,bangbang,66,-36,60,90
1758630964.566471,18.37211918830872,210,146,bangbang,67,-37,60,90
1758630964.691668,18.49720811843872,210,147,bangbang,66,-36,60,90
1758630964.816275,18.62192010879517,210,148,bangbang,66,-36,60,90
1758630964.940182,18.7460401058197,210,149,bangbang,66,-36,60,90
1758630965.066957,18.87279200553894,210,150,bangbang,68,-38,60,90
1758630965.19191,18.99774408340454,210,151,bangbang,69,-39,60,90
1758630965.318752,19.12459015846252,210,152,bangbang,68,-38,60,90
1758630965.445696,19.25130701065063,210,153,bangbang,71,-41,60,90
1758630965.575783,19.38159012794495,210,154,bangbang,72,-42,60,90
