timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1761047764.326378,26.22576308250427,175.16,None,7,140,PID,104.84,35.16,149,0,None,39,None,135
1761047764.521846,26.41877412796021,56.56000000000001,None,64,140,PID,223.44,-83.43999999999999,124,0,None,39,None,136
1761047764.720886,26.61825919151307,119.84,None,66,140,PID,160.16,-20.16,96,0,None,39,None,137
1761047764.902969,26.80028104782105,236.2,None,9,140,PID,43.80000000000002,96.19999999999999,95,0,None,39,None,138
1761047765.096281,26.99657607078553,141.52,None,22,140,PID,138.48,1.520000000000001,88,0,None,39,None,139
1761047765.311258,27.20854115486145,59.08,None,71,140,PID,220.92,-80.92000000000001,87,0,None,39,None,140
1761047765.502546,27.39881300926209,110.04,None,74,140,PID,169.96,-29.96,41,0,None,39,None,141
1761047765.684273,27.58498406410217,182.44,None,39,140,PID,97.56,42.44,11,0,None,39,None,142
1761047765.874236,27.76882004737854,62.8,None,77,140,PID,217.2,-77.20000000000001,-30,0,None,39,None,143
1761047766.071917,27.96804213523865,121.04,None,70,140,PID,158.96,-18.96,-64,0,None,39,None,144
1761047766.25526,28.15609097480774,186.92,None,33,140,PID,93.08,46.92,-57,0,None,39,None,145
1761047766.437327,28.33229112625122,67.20000000000001,None,70,140,PID,212.8,-72.8,-90,0,None,39,None,146
1761047766.642458,28.53952217102051,106.0,None,72,140,PID,174.0,-34.0,-130,0,None,39,None,147
1761047766.8255,28.72484803199768,82.92,None,84,140,PID,197.08,-57.08,-167,0,None,39,None,148
1761047767.020878,28.91827011108399,241.92,None,12,140,PID,38.08000000000002,101.92,-152,0,None,39,None,149
1761047767.22535,29.12007904052734,79.36,None,50,140,PID,200.64,-60.64,-156,0,None,39,None,150
1761047767.44438,29.34064197540284,95.56000000000001,None,64,140,PID,184.44,-44.44,-191,0,None,39,None,151
1761047767.633475,29.53435111045838,99.08000000000001,None,70,140,PID,180.92,-40.92000000000001,-223,0,None,39,None,152
1761047767.820578,29.71799612045288,121.04,None,62,140,PID,158.96,-18.96,-254,0,None,39,None,153
1761047768.001895,29.89854001998902,193.4,None,21,140,PID,86.60000000000002,53.4,-255,0,None,39,None,154
1761047768.197486,30.09756708145142,37.84000000000001,None,73,140,PID,242.16,-102.16,-314,0,None,39,None,155
1761047768.40485,30.30578303337097,89.56000000000001,None,77,140,PID,190.44,-50.44,-381,0,None,39,None,156
1761047768.594092,30.49479413032532,205.84,None,21,140,PID,74.16,65.84000000000001,-394,0,None,39,None,157
1761047768.785425,30.68588519096375,103.44,None,38,140,PID,176.56,-36.56000000000001,-424,0,None,39,None,158
1761047768.976606,30.87758207321167,18.64000000000002,None,89,140,PID,261.36,-121.36,-504,0,None,39,None,159
1761047769.165013,31.05968308448792,227.56,None,15,140,PID,52.44,87.56,-511,0,None,39,None,160
1761047769.381114,31.27815914154053,150.72,None,9,140,PID,129.28,10.72,-512,0,None,39,None,161
1761047769.573882,31.47414112091065,125.04,None,18,140,PID,154.96,-14.96,-524,0,None,39,None,162
1761047769.774383,31.67462015151978,80.44,None,45,140,PID,199.56,-59.56,-559,0,None,39,None,163
