timestamp,time,right_speed,iteration,test,reflection,error,correction,left_speed
1758632998.020332,6.120837926864624,90,48,bangbang,9,21,-60,210
1758632998.149986,6.250456094741821,90,49,bangbang,14,16,-60,210
1758632998.275937,6.376405000686646,210,50,bangbang,55,-25,60,90
1758632998.411721,6.511902093887329,210,51,bangbang,67,-37,60,90
1758632998.540836,6.64125394821167,210,52,bangbang,67,-37,60,90
1758632998.66839,6.767911911010742,210,53,bangbang,67,-37,60,90
1758632998.794861,6.895228862762451,210,54,bangbang,52,-22,60,90
1758632998.920446,7.020946979522705,90,55,bangbang,21,9,-60,210
1758632999.048066,7.147717952728271,90,56,bangbang,8,22,-60,210
1758632999.174737,7.275116920471191,210,57,bangbang,42,-12,60,90
1758632999.29899,7.399487972259521,210,58,bangbang,74,-44,60,90
1758632999.422454,7.52285099029541,210,59,bangbang,77,-47,60,90
1758632999.546908,7.647363901138306,210,60,bangbang,76,-46,60,90
1758632999.67579,7.77604603767395,210,61,bangbang,59,-29,60,90
1758632999.799053,7.899549961090088,90,62,bangbang,27,3,-60,210
1758632999.924354,8.024735927581787,90,63,bangbang,10,20,-60,210
1758633000.048062,8.147640943527222,210,64,bangbang,45,-15,60,90
1758633000.174106,8.274452924728394,210,65,bangbang,68,-38,60,90
1758633000.30031,8.400795936584473,210,66,bangbang,68,-38,60,90
1758633000.425911,8.526385068893433,210,67,bangbang,71,-41,60,90
1758633000.55249,8.65290904045105,210,68,bangbang,71,-41,60,90
1758633000.680288,8.780601024627686,210,69,bangbang,42,-12,60,90
1758633000.810415,8.910842895507813,90,70,bangbang,10,20,-60,210
1758633000.941743,9.04193902015686,90,71,bangbang,8,22,-60,210
1758633001.069617,9.167293071746826,90,72,bangbang,17,13,-60,210
1758633001.192502,9.292906045913696,210,73,bangbang,65,-35,60,90
1758633001.319947,9.420418977737427,210,74,bangbang,68,-38,60,90
1758633001.44862,9.547981977462769,210,75,bangbang,67,-37,60,90
1758633001.5749,9.675405025482178,210,76,bangbang,69,-39,60,90
1758633001.698895,9.799392938613892,210,77,bangbang,70,-40,60,90
1758633001.823044,9.923549890518188,210,78,bangbang,69,-39,60,90
1758633001.954879,10.05521893501282,210,79,bangbang,68,-38,60,90
1758633002.076498,10.17681193351746,210,80,bangbang,59,-29,60,90
1758633002.201001,10.30138087272644,210,81,bangbang,42,-12,60,90
1758633002.321986,10.42246794700623,90,82,bangbang,12,18,-60,210
1758633002.449878,10.54794001579285,90,83,bangbang,7,23,-60,210
1758633002.579912,10.6803879737854,90,84,bangbang,8,22,-60,210
1758633002.706969,10.80739688873291,90,85,bangbang,14,16,-60,210
1758633002.831545,10.93130898475647,90,86,bangbang,28,2,-60,210
1758633002.955754,11.05372095108032,210,87,bangbang,31,-1,60,90
1758633003.082372,11.18088293075562,90,88,bangbang,19,11,-60,210
1758633003.217088,11.3175790309906,90,89,bangbang,7,23,-60,210
1758633003.346459,11.44490098953247,90,90,bangbang,7,23,-60,210
1758633003.470345,11.5708498954773,90,91,bangbang,8,22,-60,210
1758633003.59826,11.69766092300415,90,92,bangbang,9,21,-60,210
